adduser	3.152
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsepol2:amd64	3.8.1-1
libsharpyuv0:amd64	1.5.0-0.1
libsmartcols1:amd64	2.41.5-0+deb13u1
libsqlite3-0:amd64	3.46.1-7+deb13u2
libssh2-1t64:amd64	1.11.1-1+deb13u2
libssl3t64:amd64	3.5.7-1~deb13u2
libstdc++6:amd64	14.2.0-19
libsystemd0:amd64	257.13-1~deb13u1
libtasn1-6:amd64	4.20.0-2+deb13u1
libthai-data	0.1.29-2
libthai0:amd64	0.1.29-2+b1
libtiff6:amd64	4.7.0-3+deb13u3
libtinfo6:amd64	6.5+20250216-2
libudev1:amd64	257.13-1~deb13u1
libunistring5:amd64	1.3-2
libuuid1:amd64	2.41.5-0+deb13u1
libwebp7:amd64	1.5.0-0.1
libx11-6:amd64	2:1.8.12-1
libx11-data	2:1.8.12-1
libxau6:amd64	1:1.0.11-1
libxcb-render0:amd64	1.17.0-2+b1
libxcb-shm0:amd64	1.17.0-2+b1
libxcb1:amd64	1.17.0-2+b1
libxdmcp6:amd64	1:1.1.5-1
libxext6:amd64	2:1.3.4-1+b3
libxml2:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxrender1:amd64	1:0.9.12-1
libxslt1.1:amd64	1.1.35-1.2+deb13u3
libxxhash0:amd64	0.8.3-2
libzstd1:amd64	1.5.7+dfsg-1
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
mawk	1.3.4.20250131-1
mount	2.41.5-0+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
netcat-openbsd	1.229-1
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
perl-base	5.40.1-6+deb13u1
readline-common	8.2-6
sed	4.9-2+deb13u1
shared-mime-info	2.4-5+b2
sqv	1.3.0-3+b2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026c-0+deb13u1
util-linux	2.41.5-0+deb13u1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1+b1
