G0|Baseline|-
G3-02|Implement leased step journal and timers|qdrat/automation/,qdrat/kernel/|C05|Persist Run StepAttempt lease fencing retry deadlines and durable timers|Two workers cannot commit same step; expired worker fenced; crash resumes recorded state; bounded retries visible
G3-03|Implement bound human approvals|qdrat/trust/,qdrat/automation/,frontend/|C06|Publish request digest/revision quorum expiry and segregation-of-duties decisions|Edit invalidates approval; approval consumed once; revoked approver/issuer cannot release action; Arabic readable preview
G3-04|Implement budget reservation and cancellation|qdrat/automation/,qdrat/trust/|C06|Atomic hierarchical cost/resource reservations and cancel/kill dispatch controls|Concurrent steps cannot overspend; unknown cost remains reserved; cancellation records outstanding effects
G3-05|Compile and validate typed Flow graphs|qdrat/automation/,frontend/|C05|Publish immutable action/branch/bounded-loop/wait/parallel/subflow graphs|Cycle/type/unbounded-loop rejection; failed publication no partial revision; old runs retain old graph
G3-06|Implement pure rules and decision tables|qdrat/automation/rules/,tests/rules/|C05|Bounded typed AST and deterministic first-match/collect decision tables|Missing/null/unknown distinct; decimal rounding explicit; no I/O or eval; overlap and resource-limit fixtures
G3-07|Implement safe replay resume and compensation|qdrat/automation/,frontend/|C05|Read-only replay mocks effects; resume rechecks future authority; compensation is a forward action|Replay causes zero external effects; unknown step blocks resume; compensation failures remain visible
G3-08|Migrate inherited scheduled jobs to durable ownership|horilla/scheduling.py,horilla_backup/,qdrat/automation/,docker/|C05|Replace one job family at a time with idempotency/fencing and retire import-time schedulers|Inventory reconciled; no duplicate payroll/backup jobs under two workers; old scheduler disabled only after parity
G4|People core and knowledge|G2,G3
G4-01|Add quarantined document ingestion and derivatives|qdrat/knowledge/,workers/documents/|C08|Pin parser/converter adapters and original/derived custody records|Corrupt/oversize files isolated; original digest preserved; no converter network egress; failed extraction never publishes
G4-02|Add permission-aware full-text search and citations|qdrat/knowledge/,qdrat/api/,frontend/|C07|PostgreSQL FTS over authorized source revisions with Arabic normalization|Revoked source disappears at query time; restricted counts/snippets denied; exact citation reconstructs source span
G4-03|Build Company Twin adjacency projection|qdrat/knowledge/graph/,qdrat/data/|C03,C07|Typed sourced effective-dated relationships with bounded traversal/rebuild|No orphan visible edge; uncertain link labeled; rebuild preserves tombstones and policy; transactional product works when graph disabled
G4-04|Migrate core employment and contract journey|qdrat/people/,employee/,frontend/|C01,C08|Effective-dated Employment Assignment Contract with legacy mapping and signed document links|Overlapping authority rejected; future/retro changes preserve history; employee/manager self-service field policy
G4-05|Implement leave accrual and reservation ledger|qdrat/people/leave/,leave/,frontend/|C01,C05|Policy revisions, accrual entries, reservation approval cancellation and reversals|Concurrent requests cannot overspend; cancellation releases reservation once; historical balances reproduce by policy revision
G4-06|Implement time correction and shift assignment|qdrat/people/time/,attendance/,frontend/|C01,C05|Preserve raw punches, normalized time entries, schedule and approved corrections|Duplicate/overnight/DST/missing punch fixtures; correction never destroys original; coverage conflicts visible
G4-07|Implement onboarding and offboarding checklist|qdrat/people/lifecycle/,qdrat/automation/,frontend/|C05,C06|Versioned employment/access/document/asset task orchestration|Partial failures preserve outstanding obligations; termination revokes grants; no retry repeats external provisioning
G4-08|Implement recruiting application and offer pipeline|qdrat/people/recruiting/,recruitment/,frontend/|C01,C08|Consent-bound candidate application interview stage and offer revision|Restricted candidate records; human decisions; deletion/hold; changed offer invalidates approval
G4-09|Implement performance goals and confidential feedback|qdrat/people/performance/,pms/,frontend/|C01,C02|Review cycles goals feedback acknowledgments and appeal history|Manager/employee/calibration scopes tested; no automated consequential decisions; closed review amendments append history
G4-10|Implement compensation and benefit enrollment revisions|qdrat/people/rewards/,payroll/,frontend/|C01,C06|Effective-dated packages eligibility enrollments and budget approval|Restricted compensation fields; pro-rata/retro fixtures; no direct live payroll mutation
G4-11|Implement learning skills and headcount scenarios|qdrat/people/development/,frontend/|C01,C07|Skill evidence course assignments and isolated headcount/position scenarios|Unsupported skill inference remains proposal; scenario cannot alter employment; sensitive aggregate cohorts suppressed
G4-12|Validate People pilot migration and bilingual journeys|qdrat/people/,frontend/,tests/e2e/,docs/qdrat/pilot/|C10|Reconcile legacy People data and demonstrate complete employee/manager/admin journeys|Synthetic end-to-end evidence; Arabic/English mobile/accessibility; no-AI mode; source/target records and permission samples reconcile
G5|Saudi payroll qualification|G4
G5-01|Freeze Saudi rule and authority matrix|qdrat/country/sa/,docs/qdrat/country/sa/|C10|Official article/cohort/effective-date matrix for time leave contracts GOSI EOSB Nitaqat WPS and PDPL|Every rule has source digest applicability formula/rounding and boundary fixtures; unavailable APIs explicitly assisted not invented
G5-02|Implement deterministic payroll shadow calculator|qdrat/people/payroll/,qdrat/country/sa/|C01,C05|Snapshot inputs and calculate line-by-line versioned country rules without live release|Golden cohort/rounding/retro cases; reproducible totals; shadow differences explained; no payment/ledger side effects
G5-03|Implement payroll approval release and WPS artifact|qdrat/people/payroll/,qdrat/country/sa/,frontend/|C06,C10|Immutable frozen run dual-control approval export checksum and human submission acknowledgment|Changed inputs invalidate approval; duplicate export prevented; WPS version and bank totals verified; settlement not inferred
G5-04|Implement EOSB and employment amendment evidence|qdrat/country/sa/,qdrat/people/|C01,C06|Versioned tenure/reason/base-wage calculation and signed amendment preview|Official boundary cases reviewed; no hidden calendar-string arithmetic; human acknowledgment and original contract retained
G5-05|Implement Saudi privacy and assisted authority integrations|qdrat/country/sa/,qdrat/trust/,connectors/sa/|C02,C04|Nitaqat observation/source links and Qiwa/GOSI/Mudad import-export workflows with transfer controls|No unsupported public API claim; source freshness shown; transfer/deletion/hold policies enforced and exports audited
G5-06|Certify parallel payroll and country pack release|tests/country/sa/,docs/qdrat/country/sa/|C10|Independent payroll specialist acceptance and two representative parallel pay cycles plus restore/re-export drill|No unexplained monetary differences; all official rules/fixtures current; specialist signoff present; missing signoff keeps live payroll disabled
G6|Work and Service|G4
G6-01|Implement WorkItem lifecycle and list-board views|qdrat/work/,frontend/|C01,C05|Project issue/task types versioned transitions assignment comments and bulk preview|Revision conflict handled; unauthorized transition denied; board/list consistent; confidential attachments remain protected
G6-02|Implement work dependencies and planning calendars|qdrat/work/,frontend/|C01,C07|Blocking dependency DAG cycles milestones roadmaps timeline and capacity projections|Blocking cycles rejected; capacity hides leave reasons; stale availability unknown; Gantt/list parity and RTL
G6-03|Implement goals portfolio and meeting decisions|qdrat/work/,qdrat/knowledge/,frontend/|C01,C07|Link goals project outcomes meeting decisions and action items|Rollups have declared denominator; meeting transcript creates drafts only; cross-project permissions preserved
G6-04|Implement Case and scoped portal|qdrat/service/,frontend/|C01,C02|Case Request queues external portal principals and internal/private notes|External user sees only authorized cases; HR cases isolated; attachments and note audiences enforced
G6-05|Implement email and conversation channel adapter|qdrat/service/channels/,connectors/mail/|C04,C05|Deduplicated inbound messages and bound outbound send intents|Spoofed display names no identity grant; lost send reconciles; recipient preview; duplicate callbacks one message
G6-06|Implement SLA clocks and routing escalation|qdrat/service/,qdrat/automation/,frontend/|C05|Versioned calendars pause/reopen obligations routing rules and durable breach timers|DST/weekend/pause races; no erased breaches; escalation persists across restart; routing respects capacity
G6-07|Implement catalog incident problem and change records|qdrat/service/itsm/,frontend/|C01,C06|Catalog forms and incident/problem/change links with impact approval and backout evidence|Emergency change remains accountable; conflicting windows reported; restricted CI links hidden; restore action explicit
G6-08|Qualify Jira Zendesk and ServiceNow migration mappings|connectors/migrations/,tests/migrations/|C04,C10|Versioned limited export adapters with state/custom-field/comment/attachment mappings|Counts and histories reconcile; unknown fields retained; no claimed full parity outside certified mapping matrix
G7|Commercial and asset operations|G6
G7-01|Implement account contact roles and identity merge preview|qdrat/relationships/,qdrat/directory/,frontend/|C01,C04|Commercial roles on shared organizations/people with reversible merge mappings|No duplicate master identity; restricted territories; uncertain duplicates need review; provenance preserved
G7-02|Implement opportunity pipeline and activity links|qdrat/relationships/,frontend/|C01,C05|Stages amounts participants next actions and contract/work/service links|Currency totals deterministic; stage evidence enforced; account access applied to linked timelines
G7-03|Implement generic enrichment waterfalls and signals|qdrat/automation/,qdrat/data/,frontend/|C04,C05,C06|Ordered eligible providers validators stop conditions source evidence and cost preview|Budget/egress/classification checked per provider; stale evidence labeled; retries bounded; remote fallback never silent
G7-04|Implement renewals customer onboarding and health|qdrat/relationships/,frontend/|C01,C07|Versioned health factors renewal dates and customer onboarding work|Missing factors unknown; scores explainable; no automatic customer entitlement changes; restricted support context
G7-05|Implement campaign consent and connector sends|qdrat/relationships/campaigns/,connectors/mail/|C02,C04|Purpose/consent/suppression checks at dispatch and traceable campaign results|Queued opt-out cancels send; duplicate campaign effect prevented; approved audience/payload bound; delivery status not inferred
G7-06|Implement expense receipts and budget reservations|qdrat/finance/,frontend/|C01,C06|Expense lifecycle receipt custody policy review and atomic reservations|Budget race tests; duplicate receipt flagged; segregated approval; money precision and currency clear
G7-07|Implement purchase request order receipt matching|qdrat/finance/procurement/,frontend/|C01,C06|Supplier quotes approved PO revision partial receipt and invoice match exceptions|Split/partial tolerance fixtures; vendor bank changes require separate verified approval; no automatic payment
G7-08|Implement ledger proposal export and reconciliation|qdrat/finance/ledger/,connectors/ledger/|C04,C06|Balanced JournalProposal and one qualified customer-ledger adapter|Debits equal credits by currency; lost acceptance reconciles; closed period rejected; payroll mapping version retained
G7-09|Implement asset assignment and return lifecycle|qdrat/ops/,frontend/|C01,C05|Asset tags custody acknowledgment warranty maintenance and retirement|Concurrent assignment rejected; offboarding leaves visible outstanding asset; retirement history exportable
G7-10|Implement CI inventory reconciliation and facility reservations|qdrat/ops/,connectors/inventory/,frontend/|C04,C07|Read inventory feed, project service relationships and reserve rooms/equipment|Stale observations labeled; no implicit device control; double booking prevented; map-independent offline view
G8|Studio analytics and extensions|G4
G8-01|Implement custom object schema publication|qdrat/studio/,frontend/|C09|Version validated custom JSONB types fields relations classifications and promoted indexes|Core schema cannot be redefined; destructive type change needs migration; index/record quotas enforced
G8-02|Implement form grid and board authoring|qdrat/studio/,frontend/|C01,C09|Custom form/view definitions invoke shared actions and queries|No UI-only policy; bulk selection drift handled; keyboard/RTL forms; schema revision pinned
G8-03|Implement pure formulas lifecycle and remaining views|qdrat/studio/,frontend/|C05,C09|Formula DAG and calendar/timeline/tree/graph/map/dashboard projections|Cycle/type/budget checks; no arbitrary code; all views have list alternative; offline map fallback
G8-04|Implement signed extension export install upgrade|qdrat/extensions/,qdrat/operations/,frontend/|C09,C10|Manifest capabilities migration preview compatibility and uninstall dependencies|Tampered package rejected; capabilities denied by default; upgrade rollback and offline install; customer data export on removal
G8-05|Implement versioned metric definitions and dashboards|qdrat/analytics/,frontend/|C07|Metric grain denominators dimensions freshness and lineage over authorized views|No join inflation; small-cohort suppression; timezone/currency fixtures; current permission on cached report
G8-06|Qualify BI semantic export and analytical snapshots|qdrat/analytics/,connectors/analytics/|C04,C07|Optional Superset/read-only snapshot adapter and machine metric/citation contract|BI credentials cannot broaden data scope; late corrections restate; deletion propagates; base product works without BI
G8-07|Publish REST SDK webhook and optional MCP adapters|qdrat/api/,sdk/,docs/api/|C01,C04|OpenAPI typed Python/TS clients, cursor/idempotency semantics and Action-backed MCP|Version skew/unknown fields handled; MCP no extra grants; webhook replay denied; generated schema matches server
G9|AI execution and voice|G4
G9-01|Implement model registry and no-egress routing|qdrat/ai/,qdrat/trust/,frontend/|C02,C06|Local/remote profile metadata digest capabilities retention and explicit routing|No silent remote fallback; disabled AI has no process/calls; data-class ceiling and budget reservations enforced
G9-02|Implement context bundles scoped memory and hybrid retrieval|qdrat/ai/,qdrat/knowledge/|C07|Version instructions retrieval citations memory expiry and optional pgvector adapter|Cross-principal memory denied; revocation/delete propagation; exact citations; index generation rollover safe
G9-03|Implement agent principals skills and proposed actions|qdrat/ai/,qdrat/automation/,frontend/|C02,C05,C06|Bound tool registry skill revisions delegation and risk-tier action proposals|Tool output cannot create authority; expiry/revocation; high-impact actions remain human-controlled; unknown outcome visible
G9-04|Implement isolated ExecutionRequest adapter|qdrat/execution/,workers/,deploy/|C05,C06|Qualify pinned OpenSandbox or smaller adapter behind Qdrat request/result schema|Benign confinement/resource/egress checks pass; no host socket/ambient creds; unsupported isolation denies code tools
G9-05|Implement execution artifact custody and kill switch|qdrat/execution/,qdrat/knowledge/,frontend/|C05,C08|Capture sanitized artifacts usage and confinement evidence with revoke/terminate controls|Kill stops dispatch; stale completion fenced; secret redaction; disk cleanup and retention; external effects reconciled
G9-06|Qualify Arabic English grounded agent evaluations|qdrat/ai/evaluations/,tests/fixtures/ai/|C07|Frozen rights-cleared task/citation/abstention/action-boundary packs and baseline results|Dataset/model/prompt/tool digests fixed; failure corpus reviewed; no unauthorized action/disclosure in required fixtures; no universal guarantee claim
G9-07|Implement foreground consented voice and local ASR|qdrat/voice/,frontend/,workers/voice/|C08|Session consent capture states model pack and transcript segments using optional local engine|Offline capture/transcription; visible recording; independent cancellation; uncertain speaker labels; no background recording
G9-08|Implement transcript drafts and command preview|qdrat/voice/,qdrat/automation/,frontend/|C01,C06|Transcript-to-task/case/knowledge preview with raw/corrected evidence and normal approvals|Quoted/aside speech never grants action; low confidence prompts review; Arabic code-switch corpus; delete all derivatives
G9-09|Qualify optional desktop and meeting adapters|desktop/,qdrat/voice/,connectors/meetings/|C08,C09|Signed foreground hotkey/system-audio permissions and approved meeting import|Per-platform qualification; no ambient credentials; consent/retention visible; browser-only base unaffected
G10|Production operations and release|G5,G8
G10-01|Implement qdratctl preflight install and bootstrap|qdrat/operations/,deploy/,scripts/|C10|Profile manifest, resource/TLS checks, local trust root and expiring bootstrap owner|Clean host install; unsupported profile refused; production debug/default credentials blocked; no hidden egress
G10-02|Implement offline application and model bundles|qdrat/operations/,scripts/supply_chain/,deploy/|C10|Complete digest-signed image/wheel/font/locale/model inventory and offline import|Deny-network install succeeds; tamper/missing/expired metadata refused; no cloud verification dependency
G10-03|Implement local observability diagnostics and runbooks|qdrat/operations/,qdrat/observability/,frontend/|C03,C10|Structured logs metrics traces and redacted export with explicit customer destination|No secret/raw PII default logs; correlation traverses run/connector; optional exporter absent by default; incident drill evidence
G10-04|Implement upgrade compatibility and rollback planner|qdrat/operations/,deploy/,tests/upgrades/|C10|Versioned schema/API/extension compatibility, expand-contract and reviewed apply plans|N-1 supported upgrade; incompatible rollback refused; restore/forward-repair choices proven; no repeated external effects
G10-05|Qualify privacy retention deletion and recovery|qdrat/trust/,qdrat/knowledge/,qdrat/operations/|C02,C08,C10|Retention/hold deletion journals and separate-host encrypted restore across all derivatives|Legal hold prevents purge; restore reapplies deletion; missing keys block restore; egress paused until reconciliation
G10-06|Seal People production release qualification|docs/qdrat/releases/,scripts/supply_chain/|C10|Bind all mandatory gates exact artifacts profile evidence and human payroll acceptance|No open release-critical risks; Arabic/no-AI/offline/backup/upgrade proof; signed SBOM/notices; documented support limits
G11|HA and scale|G10
G11-01|Qualify multiworker fencing and database failover|deploy/,qdrat/automation/,tests/resilience/|C05,C10|Private HA profile with explicit database/blob failure domains and worker claims|Fault drills lose no committed run; external ambiguity reconciles; stale worker cannot commit; backup restore meets declared RPO/RTO
G11-02|Qualify Kubernetes and supported platform matrix|deploy/kubernetes/,qdrat/operations/,tests/install/|C10|Same contract as single server, signed manifests and storage/network policy|No privileged default mounts; clean upgrade/restore; degraded optional profiles; unsupported architectures rejected
G11-03|Measure workload budgets and optional engine triggers|tests/performance/,docs/qdrat/performance/|C07,C10|Reproducible benchmark datasets/hardware for People Work Service search and durable runs|Publish p50/p95/peak resources; agreed targets met or profile limited; no new service without measured ADR
G12|Later domain replacement admission|G7,G9,G11
G12-01|Qualify native ledger replacement specification|docs/qdrat/finance/,qdrat/finance/|C10|Freeze accounting invariants, statutory scope, opening balance/cutover and parallel close evidence before coding ledger|Immutable double-entry/period/FX/tax requirements reviewed by qualified accountant; connect-first remains until separately verified implementation grains
G12-02|Qualify industry and additional country packs|docs/qdrat/packs/,qdrat/extensions/|C09,C10|Specify pack namespaces source authorities domain safety rules and profile costs before native replacement|No clinical/regulated or foreign payroll claim without qualified rules; reuse primitives; each accepted pack has own bounded DAG
